ENSG00000100249.4
ENSG00000225466.1
ENSG00000216166.1
ENSG00000280773.1
ENSG00000274962.1
ENSG00000275823.1
ENSG00000280717.1
ENSG00000271981.1
ENSG00000207733.1
ENSG00000260391.2
ENSG00000201405.1
ENSG00000263677.1
ENSG00000238942.1
ENSG00000227444.1
ENSG00000279216.1
ENSG00000258908.1
ENSG00000263554.1
ENSG00000260108.1
ENSG00000278431.1
ENSG00000273545.1
ENSG00000275828.1
ENSG00000280602.1
ENSG00000264326.1
ENSG00000105371.8
ENSG00000267793.1
ENSG00000235412.1
ENSG00000266620.1
ENSG00000225491.1
ENSG00000281453.1
ENSG00000264302.1
ENSG00000260755.1
ENSG00000266341.1
ENSG00000206910.1
ENSG00000233126.3
ENSG00000252173.1
ENSG00000252426.1
ENSG00000266437.1
ENSG00000277184.1
ENSG00000226698.1
ENSG00000281206.1
ENSG00000269292.1
ENSG00000253600.1
ENSG00000279435.1
ENSG00000260534.1
ENSG00000267520.2
ENSG00000238742.1
ENSG00000200343.1
ENSG00000272346.2
ENSG00000277719.1
ENSG00000262413.1
ENSG00000254741.1
ENSG00000280824.1
ENSG00000266396.1
ENSG00000265267.1
ENSG00000215560.2
ENSG00000241020.1
ENSG00000206834.1
ENSG00000232419.1
ENSG00000253007.2
ENSG00000277446.1
ENSG00000211597.2
ENSG00000281117.1
ENSG00000223955.1
ENSG00000129845.5
ENSG00000237546.1
ENSG00000270242.1
ENSG00000279941.1
ENSG00000275224.1
ENSG00000208797.1
ENSG00000252513.1
ENSG00000271154.1
ENSGR0000182378.11
ENSG00000257000.1
ENSG00000237278.2
ENSG00000281545.1
ENSG00000281592.1
ENSG00000274888.1
ENSG00000211573.2
ENSG00000259383.1
ENSG00000228856.3
ENSG00000245261.1
ENSG00000215580.9
ENSG00000225609.1
ENSG00000280464.1
ENSG00000200530.1
ENSG00000278602.1
ENSG00000233699.1
ENSG00000200305.1
ENSG00000264333.1
ENSG00000261709.3
ENSG00000281844.1
ENSG00000274207.1
ENSG00000235895.1
ENSG00000221803.1
ENSG00000258985.1
ENSG00000270397.1
ENSG00000237427.1
ENSG00000264299.1
ENSG00000263244.2
ENSG00000281426.1
ENSG00000201754.1
ENSG00000255629.1
ENSG00000263337.1
ENSG00000269271.1
ENSG00000244252.1
ENSGR0000275287.3
ENSG00000264839.1
ENSG00000236326.1
ENSG00000280064.1
ENSG00000276027.1
ENSG00000230663.1
ENSG00000235451.1
ENSG00000227488.2
ENSG00000201770.1
ENSG00000279115.1
ENSG00000264732.1
ENSG00000265373.1
ENSG00000275694.1
ENSG00000277438.1
ENSG00000259037.1
ENSG00000275857.1
ENSG00000273915.1
ENSG00000215183.4
ENSG00000274984.1
ENSG00000277077.1
ENSG00000185894.7
ENSG00000226143.1
ENSG00000274910.1
ENSG00000231955.1
ENSG00000275820.1
ENSG00000277002.1
ENSG00000199071.2
ENSG00000279809.1
ENSG00000231026.1
ENSG00000272661.1
ENSG00000277732.1
ENSG00000202025.1
ENSG00000264913.1
ENSG00000275866.1
ENSG00000235583.2
ENSG00000247049.2
ENSG00000200381.1
ENSG00000278791.1
ENSG00000275578.1
ENSG00000279027.1
ENSG00000232220.2
ENSG00000252714.1
ENSG00000270073.1
ENSG00000275902.1
ENSG00000169800.12
ENSG00000223856.1
ENSG00000207112.1
ENSG00000281378.1
ENSG00000266333.1
ENSG00000278048.1
ENSG00000274500.1
ENSG00000263972.1
ENSG00000227551.1
ENSG00000277209.1
ENSG00000281280.1
ENSG00000253144.1
ENSG00000239304.1
ENSG00000273834.1
ENSG00000281138.1
ENSG00000258660.1
ENSG00000226369.1
ENSG00000268565.1
ENSGR0000228410.4
ENSG00000172774.7
ENSG00000280827.1
ENSG00000277716.1
ENSG00000233864.6
ENSG00000254578.1
ENSG00000199673.1
ENSGR0000182484.13
ENSG00000279274.1
ENSG00000281293.1
ENSG00000207332.1
ENSG00000277703.1
ENSG00000225653.1
ENSG00000235193.1
ENSG00000280955.1
ENSG00000276280.1
ENSG00000229940.1
ENSG00000276904.1
ENSG00000251992.1
ENSG00000223517.1
ENSG00000171484.4
ENSG00000239257.1
ENSG00000228383.5
ENSG00000222309.1
ENSG00000276168.1
ENSG00000278212.1
ENSG00000256804.1
ENSG00000277805.1
ENSG00000235004.1
ENSG00000278753.1
ENSG00000232475.1
ENSG00000275033.1
ENSG00000274266.1
ENSG00000275942.1
ENSG00000181689.1
ENSG00000201403.1
ENSG00000265236.1
ENSG00000224989.2
ENSGR0000263980.4
ENSG00000274094.1
ENSG00000275535.1
ENSG00000232581.1
ENSG00000227871.1
ENSG00000268677.1
ENSG00000234652.1
ENSG00000202345.1
ENSG00000221526.1
ENSG00000259898.1
ENSG00000230814.1
ENSG00000264329.1
ENSG00000276074.1
ENSG00000214732.2
ENSG00000252209.1
ENSG00000275982.1
ENSG00000251854.1
ENSG00000276682.1
ENSG00000276648.1
ENSG00000274777.1
ENSG00000221324.1
ENSG00000253069.1
ENSG00000265134.1
ENSG00000272851.1
ENSG00000261384.1
ENSG00000215568.6
ENSG00000216141.3
ENSG00000238597.1
ENSG00000228985.1
ENSG00000272045.1
ENSG00000252766.1
ENSG00000278027.1
ENSG00000211510.2
ENSG00000273667.1
ENSG00000280510.1
ENSG00000234850.1
ENSG00000258666.1
ENSG00000268784.1
ENSG00000255177.2
ENSG00000227644.2
ENSG00000259409.1
ENSG00000223134.1
ENSG00000259939.1
ENSG00000273678.1
ENSG00000236786.1
ENSG00000265084.1
ENSG00000237563.1
ENSG00000252868.1
ENSG00000273878.1
ENSG00000249606.1
ENSG00000276677.1
ENSG00000276873.1
ENSG00000249474.1
ENSG00000267021.1
ENSG00000258178.1
ENSG00000270251.1
ENSG00000272923.1
ENSG00000281534.1
ENSG00000236951.4
ENSG00000234166.1
ENSG00000230532.1
ENSG00000269604.1
ENSG00000268995.1
ENSG00000269968.1
ENSG00000223649.1
ENSG00000211769.1
ENSG00000272920.1
ENSG00000183385.8
ENSG00000232205.1
ENSG00000206680.1
ENSG00000276078.1
ENSG00000281598.1
ENSG00000251953.1
ENSG00000225256.1
ENSG00000280112.1
ENSG00000257378.1
ENSG00000263384.1
ENSG00000232614.1
ENSG00000237635.2
ENSG00000229553.1
ENSG00000234431.2
ENSG00000261510.1
ENSG00000274836.1
ENSG00000280771.1
ENSG00000237048.2
ENSG00000277935.1
ENSG00000274298.1
ENSG00000263421.1
ENSG00000257653.1
ENSG00000252439.1
ENSG00000207601.1
