tumour_type,tumour_id
Normal,0
ACC,1
BLCA,2
BRCA,3
CESC,4
CHOL,5
COAD,6
DLBC,7
ESCA,8
GBM,9
HNSC,10
KICH,11
KIRC,12
KIRP,13
LAML,14
LGG,15
LIHC,16
LUAD,17
LUSC,18
MESO,19
OV,20
PAAD,21
PCPG,22
PRAD,23
READ,24
SARC,25
SKCM,26
STAD,27
TGCT,28
THCA,29
THYM,30
UCEC,31
UCS,32
UVM,33
